1|彼は彼女に愛を伝えた。| かれはかのじょにあいをつたえた。| He conveyed his love to her.
2|愛は人生で最も大切なものだ。| あいはじんせいでもっともたいせつなものだ。| Love is the most important thing in life.
3|彼女の笑顔が彼にとって最大の愛だ。| かのじょのえがおがかれにとってさいだいのあいだ。| Her smile is the greatest love for him.
4|愛する家族と過ごす時間が一番幸せだ。| あいするかぞくとすごすじかんがいちばんしあわせだ。| Spending time with my beloved family is the happiest.
5|愛の言葉を交わす二人はとても幸せそうだ。| あいのことばをかわすふたりはとてもしあわせそうだ。| The two exchanging words of love look very happy.
6|彼は子犬に愛情をたくさん示している。| かれはこいぬにあいじょうをたくさんしめしている。| He shows a lot of affection to the puppy.
7|母からの愛情は無条件である。| ははからのあいじょうはむじょうけんである。| A mother's affection is unconditional.
8|愛情を感じると、人は幸せを感じる。| あいじょうをかんじると、ひとはしあわせをかんじる。| When one feels affection, they feel happiness.
9|彼の愛情表現はとても繊細だ。| かれのあいじょうひょうげんはとてもせんさいだ。| His expressions of affection are very delicate.
10|猫も人に愛情を示すことができる。| ねこもひとにあいじょうをしめすことができる。| Cats can also show affection to people.
11|彼は相変わらず元気です。| かれは相変わらず(あいかわらず)げんきです。| He is as energetic as ever.
12|このカフェは相変わらず静かですね。| このカフェは相変わらず(あいかわらず)しずかですね。| This cafe is as quiet as always.
13|相変わらずの美味しさだね。| 相変わらず(あいかわらず)のおいしさだね。| It's as delicious as always.
14|彼女の部屋は相変わらず綺麗です。| かのじょのへやは相変わらず(あいかわらず)きれいです。| Her room is still as neat as ever.
15|天気は相変わらず暑いです。| てんきは相変わらず(あいかわらず)あついです。| The weather remains as hot as usual.
16|生憎なことに、彼は不在です | 生憎(あいにく)なことに、彼(かれ)は不在(ふざい)です | Unfortunately, he is absent.
17|生憎ですが、約束があります | 生憎(あいにく)ですが、約束(やくそく)があります | Unfortunately, I have an appointment.
18|生憎彼は家にいませんでした | 生憎(あいにく)彼(かれ)は家(いえ)にいませんでした | Unfortunately, he wasn't home.
19|愛する人と一緒にいたい | 愛(あい)する人(ひと)と一緒(いっしょ)にいたい | I want to be with the person I love.
20|彼は家族を愛している | 彼(かれ)は家族(かぞく)を愛(あい)している | He loves his family.
21|愛することは大切です | 愛(あい)することは大切(たいせつ)です | Loving is important.
22|彼女は音楽を愛する | 彼女(かのじょ)は音楽(おんがく)を愛(あい)する | She loves music.
23|愛する人からの手紙 | 愛(あい)する人(ひと)からの手紙(てがみ) | A letter from a loved one.
24|話し相手を探す | 話(はな)し相手(あいて)を探(さが)す | To look for someone to talk to.
25|相手の意見を尊重する | 相手(あいて)の意見(いけん)を尊重(そんちょう)する | To respect the other person's opinion.
26|試合の相手は強い | 試合(しあい)の相手(あいて)は強(つよ)い | The opponent in the match is strong.
27|議論で相手を説得する | 議論(ぎろん)で相手(あいて)を説得(せっとく)する | To convince the other person in the discussion.
28|適切な相手を選ぶ | 適切(てきせつ)な相手(あいて)を選(えら)ぶ | To choose the appropriate partner.
29|出発の合図を待つ | 出発(しゅっぱつ)の合図(あいず)を待(ま)つ | To wait for the signal to depart.
30|彼女は笑って合図をした | 彼女(かのじょ)は笑(わら)って合図(あいず)をした | She smiled and gave a signal.
31|合図で扉を開ける | 合図(あいず)で扉(とびら)を開(あ)ける | To open the door on a signal.
32|この合図が始まりの合図です | この合図(あいず)が始(はじ)まりの合図(あいず)です | This signal marks the beginning.
33|誰かが車に乗るように合図をしている | 誰(だれ)かが車(くるま)に乗(の)るように合図(あいず)をしている | Someone is signaling to get into the car.
34|部屋の明かりを消す | 部屋(へや)の明(あ)かりを消(け)す | To turn off the light in the room.
35|明かりが窓から見える | 明(あ)かりが窓(まど)から見(み)える | The light can be seen from the window.
36|明かりの下で読書をする | 明(あ)かりの下(した)で読書(どくしょ)をする | To read under the light.
37|廊下の明かりをつける | 廊下(ろうか)の明(あ)かりをつける | To turn on the light in the hallway.
38|夜になると街の明かりが美しい | 夜(よる)になると街(まち)の明(あ)かりが美(うつく)しい | At night, the city lights are beautiful.
39|夜が明けるのを待つ | 夜(よる)が明(あ)けるのを待(ま)つ | To wait for the night to end.
40|新しい年が明ける | 新(あたら)しい年(とし)が明(あ)ける | A new year dawns.
41|雨が明けると晴れになる | 雨(あめ)が明(あ)けると晴(は)れになる | After the rain ends, it will be sunny.
42|窓を開けて夜が明ける空を見た | 窓(まど)を開(あ)けて夜(よる)が明(あ)ける空(そら)を見(み)た | I opened the window and looked at the sky at dawn.
43|夏が明けると秋が来る | 夏(なつ)が明(あ)けると秋(あき)が来(く)る | When summer ends, autumn comes.
44|空き部屋はありませんか | 空(あ)き部屋(べや)はありませんか | Are there any vacant rooms?
45|空き時間に散歩する | 空(あ)き時間(じかん)に散歩(さんぽ)する | To take a walk during free time.
46|空き家に誰か住んでいる | 空(あ)き家(や)に誰(だれ)か住(す)んでいる | Someone is living in the vacant house.
47|空き地に公園ができる | 空(あ)き地(ち)に公園(こうえん)ができる | A park will be built on the vacant lot.
48|この棚に空きがある | この棚(たな)に空(あ)きがある | There is space in this shelf.
49|空き家が多くなっている | 空(あ)き家(や)が多(おお)くなっている | Vacant houses are increasing.
50|その空き家に誰かが住んでいた | その空(あ)き家(や)に誰(だれ)かが住(す)んでいた | Someone used to live in that vacant house.
51|空き家の管理は難しい | 空(あ)き家(や)の管理(かんり)は難(むずか)しい | Managing vacant houses is difficult.
52|空き家をリフォームする計画がある | 空(あ)き家(や)をリフォームする計画(けいかく)がある | There's a plan to renovate the vacant house.
53|空き家を活用したい | 空(あ)き家(や)を活用(かつよう)したい | I want to make use of the vacant house.
54|真実が明らかになった | 真実(しんじつ)が明(あき)らかになった | The truth has become clear.
55|状況が明らかでない | 状況(じょうきょう)が明(あき)らかでない | The situation is not clear.
56|彼の意図が明らかになる | 彼(かれ)の意図(いと)が明(あき)らかになる | His intentions become apparent.
57|明らかな違いを認める | 明(あき)らかな違(ちが)いを認(みと)める | To acknowledge the obvious differences.
58|理由を明らかに説明する | 理由(りゆう)を明(あき)らかに説明(せつめい)する | To clearly explain the reasons.
59|最後まで諦めないで | 最後(さいご)まで諦(あきら)めないで | Don't give up until the end.
60|彼女は夢を諦めたくない | 彼女(かのじょ)は夢(ゆめ)を諦(あきら)めたくない | She doesn't want to give up on her dream.
61|試合に負けても諦めない | 試合(しあい)に負(ま)けても諦(あきら)めない | Even if I lose the match, I won't give up.
62|諦めるにはまだ早い | 諦(あきら)めるにはまだ早(はや)い | It's still too early to give up.
63|途中で諦めることはしない | 途中(とちゅう)で諦(あきら)めることはしない | I won't give up halfway through.
64|同じゲームに飽きる | 同(おな)じゲームに飽(あ)きる | To get tired of playing the same game.
65|彼はその仕事に飽きた | 彼(かれ)はその仕事(しごと)に飽(あ)きた | He got bored with that job.
66|飽きるまで本を読む | 飽(あ)きるまで本(ほん)を読(よ)む | To read books until one gets tired of them.
67|何度も見て飽きない映画 | 何度(なんど)も見(み)て飽(あ)きない映画(えいが) | A movie that I can watch repeatedly without getting tired of it.
68|毎日同じ食事に飽きる | 毎日(まいにち)同(おな)じ食事(しょくじ)に飽(あ)きる | To get tired of eating the same meal every day.
69|悪魔のような笑い声 | 悪魔(あくま)のような笑(わら)い声(ごえ) | A laugh like that of a demon.
70|悪魔は地獄に住むと信じられている | 悪魔(あくま)は地獄(じごく)に住(す)むと信(しん)じられている | It is believed that demons live in hell.
71|悪魔が人々を騙す | 悪魔(あくま)が人々(ひとびと)を騙(だま)す | The demon deceives people.
72|悪魔の像が置かれている | 悪魔(あくま)の像(ぞう)が置(お)かれている | A statue of a demon is placed there.
73|悪魔の誘惑に勝つ | 悪魔(あくま)の誘惑(ゆうわく)に勝(か)つ | To overcome the demon's temptation.
74|初めて会った時に握手をする | 初(はじ)めて会(あ)った時(とき)に握手(あくしゅ)をする | To shake hands when meeting for the first time.
75|彼と握手で合意に達した | 彼(かれ)と握手(あくしゅ)で合意(ごうい)に達(たっ)した | He and I reached an agreement with a handshake.
76|大統領との握手は忘れられない | 大統領(だいとうりょう)との握手(あくしゅ)は忘(わす)れられない | The handshake with the president is unforgettable.
77|握手を求めるファン | 握手(あくしゅ)を求(もと)めるファン | A fan asking for a handshake.
78|握手を交わすことで友情を深める | 握手(あくしゅ)を交(か)わすことで友情(ゆうじょう)を深(ふか)める | Deepening friendship by exchanging handshakes.
79|食事の後でご飯が余る | 食事(しょくじ)の後(あと)でご飯(ごはん)が余(あま)る | Rice is left over after the meal.
80|予算が余ることは珍しい | 予算(よさん)が余(あま)ることは珍(めずら)しい | It is rare for the budget to have a surplus.
81|時間が余ったら読書をする | 時間(じかん)が余(あま)ったら読書(どくしょ)をする | If there is extra time, I will read a book.
82|この部品はいつも余る | この部品(ぶひん)はいつも余(あま)る | These parts are always left over.
83|会議で議論の時間が余った | 会議(かいぎ)で議論(ぎろん)の時間(じかん)が余(あま)った | There was spare time for discussion in the meeting.
84|彼女は編むのが上手です | 彼女(かのじょ)は編(あ)むのが上手(じょうず)です | She is good at knitting.
85|セーターを編む計画を立てる | セーターを編(あ)む計画(けいかく)を立(た)てる | To make a plan to knit a sweater.
86|冬に向けてマフラーを編む | 冬(ふゆ)に向(む)けてマフラーを編(あ)む | To knit a scarf for winter.
87|編むことでストレスを解消する | 編(あ)むことでストレスを解消(かいしょう)する | To relieve stress by knitting.
88|母が私のために帽子を編んでくれた | 母(はは)が私(わたし)のために帽子(ぼうし)を編(あ)んでくれた | My mother knitted a hat for me.
89|このプロジェクトの新しい案を考える | このプロジェクトの新(あたら)しい案(あん)を考(かんが)える | To think of a new idea for this project.
90|案を提案する | 案(あん)を提案(ていあん)する | To propose an idea.
91|問題解決のための具体的な案 | 問題解決(もんだいかいけつ)のための具体的(ぐたいてき)な案(あん) | A concrete idea for solving a problem.
92|案を検討して反応を見る | 案(あん)を検討(けんとう)して反応(はんのう)を見(み)る | To review the idea and see the response.
93|案が採用される | 案(あん)が採用(さいよう)される | The idea is adopted.
94|運動して汗をかく | 運動(うんどう)して汗(あせ)をかく | To sweat while exercising.
95|暑い日にはよく汗をかく | 暑(あつ)い日(ひ)にはよく汗(あせ)をかく | I sweat a lot on hot days.
96|汗を拭くタオルが必要だ | 汗(あせ)を拭(ふ)くタオルが必要(ひつよう)だ | A towel is needed to wipe off sweat.
97|汗をかいた後でシャワーを浴びる | 汗(あせ)をかいた後(あと)でシャワーを浴(あ)びる | To take a shower after sweating.
98|ストレスで汗が出る | ストレスで汗(あせ)が出(で)る | Stress makes me sweat.
99|穴が靴の底に開いた | 穴(あな)が靴(くつ)の底(そこ)に開(あ)いた | A hole has formed in the bottom of the shoe.
100|穴を掘って植物を植える | 穴(あな)を掘(ほ)って植物(しょくぶつ)を植(う)える | To dig a hole and plant a plant.
101|穴から水が漏れている | 穴(あな)から水(みず)が漏(も)れている | Water is leaking from a hole.
102|壁に穴を開ける | 壁(かべ)に穴(あな)を開(あ)ける | To make a hole in the wall.
103|穴のある靴下を繕う | 穴(あな)のある靴下(くつした)を繕(つくろ)う | To mend socks with holes.
104|試験のために歴史を暗記する | 試験(しけん)のために歴史(れきし)を暗記(あんき)する | To memorize history for an exam.
105|暗記したことを忘れないようにする | 暗記(あんき)したことを忘(わす)れないようにする | To ensure not to forget what was memorized.
106|暗記は学習の一部です | 暗記(あんき)は学習(がくしゅう)の一部(いちぶ)です | Memorization is a part of learning.
107|英単語を暗記する方法 | 英単語(えいたんご)を暗記(あんき)する方法(ほうほう) | A method to memorize English words.
108|暗記カードを使って勉強する | 暗記(あんき)カードを使(つか)って勉強(べんきょう)する | To study using flashcards for memorization.
109|経済が安定している | 経済(けいざい)が安定(あんてい)している | The economy is stable.
110|安定した仕事を探す | 安定(あんてい)した仕事(しごと)を探(さが)す | To look for a stable job.
111|安定感がある関係 | 安定(あんてい)感(かん)がある関係(かんけい) | A relationship with a sense of stability.
112|安定した収入が必要です | 安定(あんてい)した収入(しゅうにゅう)が必要(ひつよう)です | A stable income is necessary.
113|精神的に安定する | 精神的(せいしんてき)に安定(あんてい)する | To become mentally stable.
114|粗い砂を使う | 粗(あら)い砂(すな)を使(つか)う | To use coarse sand.
115|粗い布で拭く | 粗(あら)い布(ぬの)で拭(ふ)く | To wipe with a rough cloth.
116|粗い解像度の画像 | 粗(あら)い解像度(かいぞうど)の画像(がぞう) | An image with a low resolution.
117|粗い塩を料理に使う | 粗(あら)い塩(しお)を料理(りょうり)に使(つか)う | To use coarse salt in cooking.
118|手編みの粗いセーター | 手編(てあ)みの粗(あら)いセーター | A hand-knitted, rough sweater.
119|嵐が近づいている | 嵐(あらし)が近(ちか)づいている | A storm is approaching.
120|嵐の夜を過ごす | 嵐(あらし)の夜(よる)を過(す)ごす | To spend a stormy night.
121|嵐で木が倒れた | 嵐(あらし)で木(き)が倒(たお)れた | Trees fell during the storm.
122|嵐の警報が発令された | 嵐(あらし)の警報(けいほう)が発令(はつれい)された | A storm warning was issued.
123|嵐に備える準備 | 嵐(あらし)に備(そな)える準備(じゅんび) | Preparations for an impending storm.
124|新たな挑戦を始める | 新(あら)たな挑戦(ちょうせん)を始(はじ)める | To start a new challenge.
125|新たな計画を立てる | 新(あら)たな計画(けいかく)を立(た)てる | To make a new plan.
126|新たな一年の始まり | 新(あら)たな一年(いちねん)の始(はじ)まり | The beginning of a new year.
127|新たな目標に向かう | 新(あら)たな目標(もくひょう)に向(む)かう | To aim for a new goal.
128|新たな発見をする | 新(あら)たな発見(はっけん)をする | To make a new discovery.
129|新種が現れる | 新種(しんしゅ)が現(あらわ)れる | A new species appears.
130|彼の真意が現れる | 彼(かれ)の真意(しんい)が現(あらわ)れる | His true intentions appear.
131|問題が突然現れた | 問題(もんだい)が突然(とつぜん)現(あらわ)れた | A problem suddenly appeared.
132|未知の現象が現れる | 未知(みち)の現象(げんしょう)が現(あらわ)れる | An unknown phenomenon appears.
133|彼の顔に笑顔が現れる | 彼(かれ)の顔(かお)に笑顔(えがお)が現(あらわ)れる | A smile appears on his face.
134|感謝を表す | 感謝(かんしゃ)を表(あらわ)す | To express gratitude.
135|チャートで結果を表す | チャートで結果(けっか)を表(あらわ)す | To represent results in a chart.
136|表情で気持ちを表す | 表情(ひょうじょう)で気持(きも)ちを表(あらわ)す | To express feelings through facial expressions.
137|彼は意見を率直に表す | 彼(かれ)は意見(いけん)を率直(そっちょく)に表(あらわ)す | He expresses his opinion frankly.
138|アートで自己を表す | アートで自己(じこ)を表(あらわ)す | To express oneself through art.
139|あらゆる努力をする | あらゆる努力(どりょく)をする | To make every effort.
140|あらゆる可能性を探る | あらゆる可能性(かのうせい)を探(さぐ)る | To explore every possibility.
141|あらゆる角度から考える | あらゆる角度(かくど)から考(かんが)える | To think from every angle.
142|あらゆる情報を集める | あらゆる情報(じょうほう)を集(あつ)める | To gather all information.
143|あらゆる年代の人々 | あらゆる年代(ねんだい)の人々(ひとびと) | People of all ages.
